methods,tests,mutants,detected_mutants
Angle.getTurn,4,22,20
ArithmeticUtilsNew.subAndCheck,7,39,25
BooleanUtils.compare,3,13,12
BooleanUtils.toBoolean,7,18,14
Composite.addChild,3,35,9
DoublyLinkedListNode.insertRight,4,18,9
DoublyLinkedListNode.remove,4,18,9
Envelope.maxExtent,8,56,33
FastMathNew.floor,9,42,23
IntMath.mod,5,21,16
ListComp02.insert_r,5,20,17
ListComp02.insert_s,5,20,17
Map.count,11,63,36
Map.extend,11,63,49
Map.remove,11,63,36
MathUtil.clamp,5,11,9
MathUtilsNew.copySignInt,8,49,30
MaxBag.add,15,748,320
MaxBag.getMax,16,749,314
MaxBag.remove,16,748,303
MinFinder.findMin,13,69,30
Polyupdate.a1,8,54,46
Polyupdate.sm,9,56,46
QueueAr.dequeue,10,69,25
QueueAr.dequeueAll,10,67,25
QueueAr.enqueue,10,67,25
QueueAr.getFront,11,67,28
QueueAr.makeEmpty,10,67,26
RingBuffer.count,14,101,85
RingBuffer.extend,13,101,84
RingBuffer.item,15,101,85
RingBuffer.remove,14,101,83
RingBuffer.wipeOut,14,101,84
SimpleMethods.abs,1,20,19
SimpleMethods.addElementToSet,1,3,1
SimpleMethods.getMin,3,7,5
SimpleMethods.incrementNumberAtIndex,5,22,22
StackAr.makeEmpty,10,47,47
StackAr.pop,9,48,25
StackAr.push,11,48,26
StackAr.top,9,48,32
StackAr.topAndPop,11,49,32
Structure.foo,4,27,26
Structure.setX,4,26,25
