methods,tests,mutants,detected_mutants
Angle.getTurn,1331,22,20
ArithmeticUtilsNew.subAndCheck,326,39,19
BooleanUtils.compare,478,13,12
BooleanUtils.toBoolean,1109,18,4
Composite.addChild,177,35,17
DoublyLinkedListNode.insertRight,539,18,15
DoublyLinkedListNode.remove,555,18,15
Envelope.maxExtent,650,56,33
FastMathNew.floor,533,42,23
IntMath.mod,561,21,18
ListComp02.insert_r,415,20,3
ListComp02.insert_s,399,20,3
Map.count,496,63,56
Map.extend,491,63,55
Map.remove,399,63,54
MathUtil.clamp,1321,11,9
MathUtilsNew.copySignInt,349,49,32
MaxBag.add,457,748,157
MaxBag.getMax,690,749,168
MaxBag.remove,690,748,167
MinFinder.findMin,208,69,69
Polyupdate.a1,462,54,47
Polyupdate.sm,478,56,48
QueueAr.dequeue,454,69,42
QueueAr.dequeueAll,459,67,42
QueueAr.enqueue,400,67,43
QueueAr.getFront,379,67,43
QueueAr.makeEmpty,379,67,43
RingBuffer.count,584,101,70
RingBuffer.extend,517,101,70
RingBuffer.item,526,101,70
RingBuffer.remove,538,101,70
RingBuffer.wipeOut,581,101,70
SimpleMethods.abs,474,20,19
SimpleMethods.addElementToSet,472,3,0
SimpleMethods.getMin,543,7,5
SimpleMethods.incrementNumberAtIndex,809,22,22
StackAr.makeEmpty,812,47,0
StackAr.pop,400,48,42
StackAr.push,446,48,42
StackAr.top,406,48,43
StackAr.topAndPop,489,49,42
Structure.foo,591,27,26
Structure.setX,546,26,25
