subject,mutants,detected_mutants
Angle_getTurn,22,0
ArithmeticUtils_subAndCheck,24,3
BooleanUtils_compare,13,0
BooleanUtils_toBoolean,17,16
Envelope_maxExtent,56,33
FastMathNew_floor,42,14
IntMath_mod,19,13
MathUtil_clamp,11,0
MathUtilsNew_copySignInt,46,1
QueueAr_dequeue,23,3
QueueAr_dequeueAll,11,0
QueueAr_enqueue,14,1
QueueAr_getFront,11,1
QueueAr_makeEmpty,19,7
SimpleMethods_abs,18,16
SimpleMethods_addElementToSet,3,0
SimpleMethods_getMin,7,5
SimpleMethods_incrementNumberAtIndex,0,0
StackAr_makeEmpty,31,0
StackAr_pop,5,1
StackAr_push,4,0
StackAr_top,3,0
StackAr_topAndPop,6,1
composite_addChild,26,24
doublylinkedlistnode_insertRight,7,4
doublylinkedlistnode_remove,5,2
listcomp02_insert_r,16,1
listcomp02_insert_s,16,15
map_count,10,0
map_extend,22,8
map_remove,16,0
maxbag_add,319,301
maxbag_getMax,197,0
maxbag_remove,458,445
minFinder_findMin,0,0
polyupdate_a1,45,27
polyupdate_sm,47,11
ringbuffer_count,32,17
ringbuffer_extend,35,0
ringbuffer_item,11,0
ringbuffer_remove,24,1
ringbuffer_wipeOut,11,1
structure_foo,20,7
structure_setX,25,9
