subject,mutants,detected_mutants
Angle_getTurn,22,20
ArithmeticUtils_subAndCheck,24,6
BooleanUtils_compare,13,12
BooleanUtils_toBoolean,17,16
Envelope_maxExtent,56,33
FastMathNew_floor,42,23
IntMath_mod,19,16
MathUtil_clamp,11,9
MathUtilsNew_copySignInt,46,29
QueueAr_dequeue,23,4
QueueAr_dequeueAll,11,1
QueueAr_enqueue,14,2
QueueAr_getFront,11,2
QueueAr_makeEmpty,19,8
SimpleMethods_abs,18,17
SimpleMethods_addElementToSet,3,0
SimpleMethods_getMin,7,5
SimpleMethods_incrementNumberAtIndex,0,0
StackAr_makeEmpty,31,0
StackAr_pop,5,1
StackAr_push,4,0
StackAr_top,3,0
StackAr_topAndPop,6,1
composite_addChild,26,24
doublylinkedlistnode_insertRight,7,4
doublylinkedlistnode_remove,5,2
listcomp02_insert_r,16,1
listcomp02_insert_s,16,15
map_count,10,7
map_extend,22,18
map_remove,16,7
maxbag_add,319,301
maxbag_getMax,197,1
maxbag_remove,458,445
minFinder_findMin,0,0
polyupdate_a1,45,39
polyupdate_sm,47,39
ringbuffer_count,32,24
ringbuffer_extend,35,10
ringbuffer_item,11,3
ringbuffer_remove,24,11
ringbuffer_wipeOut,11,4
structure_foo,20,19
structure_setX,25,24
