subject,mutants,detected_mutants
Angle_getTurn,22,20
ArithmeticUtils_subAndCheck,24,4
BooleanUtils_compare,13,12
BooleanUtils_toBoolean,17,3
Envelope_maxExtent,56,33
FastMathNew_floor,42,23
IntMath_mod,19,16
MathUtil_clamp,11,9
MathUtilsNew_copySignInt,46,29
QueueAr_dequeue,35,8
QueueAr_dequeueAll,33,8
QueueAr_enqueue,32,8
QueueAr_getFront,35,11
QueueAr_makeEmpty,35,11
SimpleMethods_abs,18,17
SimpleMethods_addElementToSet,3,0
SimpleMethods_getMin,7,5
SimpleMethods_incrementNumberAtIndex,0,0
StackAr_makeEmpty,47,0
StackAr_pop,9,3
StackAr_push,9,3
StackAr_top,8,3
StackAr_topAndPop,10,3
composite_addChild,26,8
doublylinkedlistnode_insertRight,7,4
doublylinkedlistnode_remove,7,4
listcomp02_insert_r,17,0
listcomp02_insert_s,17,0
map_count,26,19
map_extend,27,19
map_remove,27,18
maxbag_add,592,1
maxbag_getMax,582,1
maxbag_remove,582,1
minFinder_findMin,0,0
polyupdate_a1,45,38
polyupdate_sm,47,39
ringbuffer_count,61,30
ringbuffer_extend,64,33
ringbuffer_item,64,33
ringbuffer_remove,64,33
ringbuffer_wipeOut,61,30
structure_foo,27,26
structure_setX,26,25
