subject,mutants,detected_mutants
Angle.getTurn,22,0
ArithmeticUtilsNew.subAndCheck,24,15
BooleanUtils.compare,13,13
BooleanUtils.toBoolean,17,0
Composite.addChild,26,7
DoublyLinkedListNode.insertRight,7,7
DoublyLinkedListNode.remove,7,6
Envelope.maxExtent,35,10
FastMathNew.floor,42,16
IntMath.mod,19,15
ListComp02.insert_r,17,5
ListComp02.insert_s,17,5
Map.count,52,7
Map.extend,47,17
Map.remove,47,17
MathUtil.clamp,11,10
MathUtilsNew.copySignInt,46,45
MaxBag.add,439,421
MaxBag.getMax,281,194
MaxBag.remove,61,13
MinFinder.findMin,35,13
Polyupdate.a1,45,26
Polyupdate.sm,35,15
QueueAr.dequeue,35,9
QueueAr.dequeueAll,14,11
QueueAr.enqueue,32,17
QueueAr.getFront,14,10
QueueAr.makeEmpty,35,23
RingBuffer.count,43,28
RingBuffer.extend,64,20
RingBuffer.item,20,11
RingBuffer.remove,33,14
RingBuffer.wipeOut,61,13
SimpleMethods.abs,18,18
SimpleMethods.addElementToSet,3,2
SimpleMethods.getMin,7,6
SimpleMethods.incrementNumberAtIndex,24,4
StackAr.makeEmpty,25,14
StackAr.pop,17,12
StackAr.push,25,7
StackAr.top,21,17
StackAr.topAndPop,27,18
Structure.foo,19,11
Structure.setX,26,16
