metodo,propiedades
getTurn,1
subAndCheck,2
compare,1
toBoolean,4
addChild,157
insertRight,46
remove,28
maxExtent,10
floor,1
mod,3
insert_r,18
insert_s,24
count,7
extend,21
remove,15
clamp,0
copySignInt,0
add,35
getMax,0
remove,29
findmin,12
a1,4
sm,3
dequeue,43
dequeueAll,23
enqueue,33
getFront,18
makeEmpty,28
count,16
extend,22
item,15
remove,17
wipeOut,15
abs,2
addElementToSet,1
getMin,2
incrementNumberAtIndex,9
makeEmpty,12
pop,14
push,16
top,73
topAndPop,39
foo,2
setX,1
total,822
promedio,19
