metodo,aserciones,tests,promedio
getTurn,3,4,1
subAndCheck,8,7,1
compare,3,3,1
toBoolean,6,7,1
addChild,3,3,1
insertRight,4,4,1
remove,4,4,1
maxExtent,21,8,3
floor,9,9,1
mod,5,5,1
insert_r,4,5,1
insert_s,4,5,1
count,16,11,1
extend,17,11,2
remove,16,11,1
clamp,4,5,1
copySignInt,7,8,1
add,20,15,1
getMax,22,16,1
remove,25,16,2
findmin,9,13,1
a1,9,8,1
sm,9,9,1
dequeue,13,10,1
dequeueAll,12,10,1
enqueue,12,10,1
getFront,15,11,1
makeEmpty,13,10,1
count,19,14,1
extend,18,13,1
item,21,15,1
remove,19,14,1
wipeOut,19,14,1
abs,1,1,1
addElementToSet,2,1,2
getMin,3,3,1
incrementNumberAtIndex,2,5,0
makeEmpty,11,10,1
pop,11,9,1
push,14,11,1
top,10,9,1
topAndPop,13,11,1
foo,4,4,1
setX,4,4,1
total,464,376,
promedio,11,9,1
