subject,evosuite,evosuite-daikon,incremento
maxbag_remove,12,97,85
composite_addChild,8,92,85
maxbag_add,14,97,82
QueueAr_enqueue,16,47,31
doublylinkedlistnode_insertRight,29,57,29
doublylinkedlistnode_remove,29,57,29
QueueAr_dequeueAll,15,42,27
QueueAr_dequeue,14,40,26
StackAr_top,25,50,25
BooleanUtils_toBoolean,71,94,24
StackAr_push,33,56,22
QueueAr_makeEmpty,17,37,20
StackAr_topAndPop,30,50,20
listcomp02_insert_s,76,94,18
QueueAr_getFront,26,37,11
StackAr_pop,22,33,11
IntMath_mod,79,84,5
FastMathNew_floor,55,60,5
ArithmeticUtils_subAndCheck,50,54,4
polyupdate_a1,82,84,2
polyupdate_sm,79,81,2
ringbuffer_wipeOut,72,74,2
ringbuffer_item,72,73,2
Angle_getTurn,91,91,0
BooleanUtils_compare,92,92,0
Envelope_maxExtent,59,59,0
MathUtil_clamp,82,82,0
MathUtilsNew_copySignInt,59,59,0
SimpleMethods_abs,94,94,0
SimpleMethods_addElementToSet,33,33,0
SimpleMethods_getMin,71,71,0
SimpleMethods_incrementNumberAtIndex,,,0
StackAr_makeEmpty,0,0,0
listcomp02_insert_r,76,76,0
map_count,19,19,0
map_extend,63,63,0
map_remove,19,19,0
maxbag_getMax,14,14,0
minFinder_findMin,,,0
ringbuffer_count,72,72,0
ringbuffer_extend,72,72,0
ringbuffer_remove,72,72,0
structure_foo,96,96,0
structure_setX,96,96,0
