subject,randoop,randoop-daikon,incremento
maxbag_add,0,97,96
maxbag_remove,0,97,96
listcomp02_insert_s,0,94,94
BooleanUtils_toBoolean,18,94,76
composite_addChild,31,92,62
StackAr_top,38,63,25
StackAr_push,33,56,22
StackAr_topAndPop,30,50,20
QueueAr_enqueue,25,34,9
ArithmeticUtils_subAndCheck,17,25,8
QueueAr_dequeueAll,24,30,6
listcomp02_insert_r,0,6,6
QueueAr_makeEmpty,31,37,6
QueueAr_dequeue,23,29,6
polyupdate_a1,84,87,2
structure_foo,96,96,0
structure_setX,96,96,0
SimpleMethods_abs,94,94,0
BooleanUtils_compare,92,92,0
Angle_getTurn,91,91,0
IntMath_mod,84,84,0
polyupdate_sm,83,83,0
MathUtil_clamp,82,82,0
map_count,73,73,0
SimpleMethods_getMin,71,71,0
map_extend,70,70,0
map_remove,67,67,0
MathUtilsNew_copySignInt,63,63,0
Envelope_maxExtent,59,59,0
doublylinkedlistnode_insertRight,57,57,0
doublylinkedlistnode_remove,57,57,0
FastMathNew_floor,55,55,0
ringbuffer_extend,52,52,0
ringbuffer_item,52,52,0
ringbuffer_remove,52,52,0
ringbuffer_count,49,49,0
ringbuffer_wipeOut,49,49,0
StackAr_pop,33,33,0
QueueAr_getFront,31,31,0
maxbag_getMax,0,0,0
SimpleMethods_addElementToSet,0,0,0
SimpleMethods_incrementNumberAtIndex,0,0,0
StackAr_makeEmpty,0,0,0
minFinder_findMin,0,0,0
