method,count
getTurn,1331
subAndCheck,3153
compare,4014
toBoolean,1109
addChild,2366
insertRight,449
remove,461
maxExtent,1930
floor,3253
mod,3292
insert_r,1924
insert_s,1780
count,2891
extend,2857
remove,2211
clamp,1321
copySignInt,3057
add,2044
getMax,3373
remove,3373
findmin,3016
a1,1165
sm,1230
dequeue,2549
dequeueAll,2605
enqueue,2134
getFront,1987
makeEmpty,1987
count,3135
extend,2742
item,2779
remove,2843
wipeOut,3111
abs,3159
addElementToSet,2219
getMin,3297
incrementNumberAtIndex,2401
makeEmpty,5800
pop,2008
push,2376
top,2042
topAndPop,2679
foo,976
setX,892
