method,mutants_range
doublylinkedlistnode_remove,3-9
listcomp02_insert_r,20
listcomp02_insert_s,18
map_count,31-61
map_extend,8-9;48-61
map_remove,8-9;30-46
maxbag_add,279;454-748
maxbag_getMax,282-748
maxbag_remove,279-452
QueueAr_dequeue,23-42;59-69
QueueAr_dequeueAll,23-65
QueueAr_enqueue,23-54;67
QueueAr_getFront,23-38;44-67
QueueAr_makeEmpty,40-67
ringbuffer_count,21-24;48-101
ringbuffer_extend,21-46;92-101
ringbuffer_item,26-55;58-101
ringbuffer_remove,21-46;57-90;101
ringbuffer_wipeOut,21-99
StackAr_makeEmpty,32-47
StackAr_pop,19-34;40-48
StackAr_push,19-37;43-48
StackAr_top,19-30;37-48
StackAr_topAndPop,19-30;35-40
structure_foo,21-27
structure_setX,18
