mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,LVR,0,0,0
2,LVR,40,40,0
3,ROR,0,0,0
4,ROR,63,63,0
5,ROR,40,40,0
6,LVR,39,39,0
7,LVR,0,0,0
8,ROR,4,4,0
9,ROR,40,40,0
10,ROR,0,0,0
11,COR,25,25,0
12,COR,10,10,0
13,COR,7,7,0
14,COR,4,4,0
15,LVR,32,32,0
16,LVR,7,7,0
17,ROR,25,25,0
18,ROR,0,0,0
19,ROR,25,25,0
20,LVR,39,39,0
21,LVR,40,40,0
22,ROR,0,0,0
23,ROR,63,63,0
24,ROR,25,25,0
25,COR,63,63,0
26,COR,79,79,0
27,COR,88,88,0
28,COR,0,0,0
29,COR,0,0,0
30,COR,0,0,0
31,COR,0,0,0
32,COR,0,0,0
33,EVR,0,0,0
34,LVR,0,0,0
35,LVR,39,0,39
36,ROR,0,0,0
37,ROR,45,0,45
38,ROR,0,0,0
39,ROR,39,0,39
40,ROR,0,0,0
41,ROR,79,79,0
42,COR,84,84,0
43,COR,0,0,0
44,COR,167,167,0
45,COR,39,39,0
46,ORU,14,14,0
47,ORU,13,13,0
48,LVR,49,49,0
49,EVR,14,14,0
