mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,10,0,10
2,LVR,0,0,0
3,LVR,3,0,3
4,STD,3,0,3
5,LVR,3,0,3
6,LVR,0,0,0
7,STD,3,3,0
8,LVR,1,1,0
9,LVR,0,0,0
10,AOR,3,3,0
11,AOR,1,1,0
12,AOR,4,2,2
13,AOR,4,1,3
14,STD,0,0,0
15,LVR,3,3,0
16,LVR,1,1,0
17,ROR,1,1,0
18,ROR,0,0,0
19,ROR,0,0,0
20,ROR,0,0,0
21,ROR,0,0,0
22,ROR,0,0,0
23,LVR,4,4,0
24,LVR,0,0,0
25,STD,0,0,0
26,LVR,0,0,0
27,LVR,0,0,0
28,STD,0,0,0
29,LVR,0,0,0
30,LVR,1,0,1
31,AOR,1,0,1
32,AOR,0,0,0
33,AOR,0,0,0
34,AOR,0,0,0
35,STD,0,0,0
36,LVR,0,0,0
37,LVR,0,0,0
38,STD,0,0,0
39,COR,0,0,0
40,COR,0,0,0
41,EVR,1,0,1
42,EVR,0,0,0
43,EVR,0,0,0
44,EVR,0,0,0
45,EVR,2,0,2
46,COR,0,0,0
47,COR,0,0,0
48,STD,0,0,0
49,EVR,0,0,0
50,STD,0,0,0
51,ROR,0,0,0
52,ROR,0,0,0
53,ROR,0,0,0
54,LVR,0,0,0
55,LVR,0,0,0
56,STD,3,0,3
57,LVR,3,0,3
58,EVR,0,0,0
59,COR,0,0,0
60,COR,0,0,0
61,ROR,2,0,2
62,ROR,3,0,3
63,ROR,3,0,3
64,LVR,0,0,0
65,LVR,3,3,0
66,STD,0,0,0
67,STD,0,0,0
68,STD,3,0,3
69,STD,0,0,0
