mutant_id,mutation,failing_test
1,STD,0
2,LVR,6
3,LVR,9
4,STD,9
5,LVR,9
6,LVR,6
7,STD,
8,LVR,17
9,LVR,0
10,AOR,0
11,AOR,
12,AOR,12
13,AOR,0
14,STD,0
15,LVR,0
16,LVR,20
17,ROR,
18,ROR,25
19,ROR,8
20,ROR,16
21,ROR,2
22,ROR,22
23,LVR,
24,LVR,0
25,STD,18
26,LVR,22
27,LVR,14
28,STD,22
29,LVR,14
30,LVR,8
31,AOR,0
32,AOR,8
33,AOR,
34,AOR,0
35,STD,0
36,LVR,0
37,LVR,0
38,STD,0
39,LVR,
40,COR,
41,COR,
42,STD,
43,EVR,0
44,COR,0
45,COR,9
46,STD,0
47,STD,0
48,EVR,0
49,STD,0
50,ROR,0
51,ROR,0
52,ROR,0
53,LVR,0
54,LVR,0
55,STD,0
56,EVR,17
57,COR,0
58,COR,0
59,ROR,0
60,ROR,0
61,ROR,0
62,LVR,0
63,LVR,0
64,STD,
65,STD,0
66,STD,9
67,STD,0
