mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,9,0,9
2,LVR,0,0,0
3,LVR,3,0,3
4,STD,3,0,3
5,LVR,3,0,3
6,LVR,0,0,0
7,STD,4,4,0
8,LVR,2,2,0
9,LVR,0,0,0
10,AOR,2,2,0
11,AOR,2,2,0
12,AOR,4,2,2
13,AOR,4,1,3
14,STD,0,0,0
15,LVR,2,2,0
16,LVR,1,1,0
17,ROR,1,1,0
18,ROR,0,0,0
19,ROR,0,0,0
20,ROR,0,0,0
21,ROR,0,0,0
22,ROR,0,0,0
23,LVR,5,5,0
24,LVR,0,0,0
25,STD,0,0,0
26,LVR,0,0,0
27,LVR,0,0,0
28,STD,0,0,0
29,LVR,0,0,0
30,LVR,1,0,1
31,AOR,1,0,1
32,AOR,0,0,0
33,AOR,0,0,0
34,AOR,0,0,0
35,STD,0,0,0
36,LVR,0,0,0
37,LVR,0,0,0
38,STD,0,0,0
39,LVR,0,0,0
40,COR,0,0,0
41,COR,0,0,0
42,STD,0,0,0
43,EVR,0,0,0
44,COR,0,0,0
45,COR,2,0,2
46,STD,0,0,0
47,STD,0,0,0
48,EVR,0,0,0
49,STD,0,0,0
50,ROR,0,0,0
51,ROR,0,0,0
52,ROR,0,0,0
53,LVR,0,0,0
54,LVR,3,0,3
55,STD,0,0,0
56,EVR,3,0,3
57,COR,0,0,0
58,COR,0,0,0
59,ROR,2,0,2
60,ROR,3,0,3
61,ROR,3,0,3
62,LVR,0,0,0
63,LVR,3,3,0
64,STD,0,0,0
65,STD,0,0,0
66,STD,3,0,3
67,STD,0,0,0
