mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,11,0,11
2,STD,4,2,2
3,COR,1,0,1
4,COR,3,1,2
5,EVR,1,0,1
6,EVR,1,0,1
7,EVR,3,1,2
8,EVR,2,0,2
9,LVR,0,0,0
10,EVR,1,0,1
11,LVR,0,0,0
12,LVR,7,0,7
13,ROR,0,0,0
14,ROR,0,0,0
15,ROR,0,0,0
16,EVR,1,0,1
17,LVR,0,0,0
18,LVR,0,0,0
19,LVR,0,0,0
20,ROR,0,0,0
21,ROR,0,0,0
22,ROR,0,0,0
23,COR,1,0,1
24,COR,0,0,0
25,COR,7,0,7
26,COR,1,1,0
27,ROR,7,0,7
28,STD,1,1,0
29,STD,1,1,0
30,EVR,7,0,7
31,EVR,0,0,0
32,LVR,5,3,2
33,LVR,5,0,5
34,ROR,1,0,1
35,ROR,1,1,0
36,ROR,1,1,0
37,STD,0,0,0
38,STD,1,1,0
39,STD,1,1,0
40,LVR,1,1,0
41,LVR,1,1,0
42,AOR,1,1,0
43,AOR,2,0,2
44,AOR,1,0,1
45,AOR,0,0,0
46,STD,0,0,0
47,EVR,0,0,0
48,EVR,0,0,0
49,LVR,2,0,2
50,LVR,2,0,2
51,ROR,2,0,2
52,ROR,2,0,2
53,ROR,0,0,0
54,COR,1,1,0
55,COR,2,2,0
56,COR,1,0,1
57,COR,0,0,0
58,EVR,1,1,0
59,STD,7,0,7
60,STD,7,0,7
61,EVR,1,0,1
62,EVR,4,2,2
63,EVR,0,0,0
