mutant_id,mutation,failing_test
1,STD,0
2,STD,0
3,COR,0
4,COR,0
5,EVR,0
6,EVR,0
7,EVR,0
8,EVR,0
9,EVR,0
10,LVR,0
11,LVR,0
12,ROR,0
13,ROR,0
14,ROR,0
15,EVR,0
16,LVR,0
17,LVR,0
18,LVR,0
19,ROR,0
20,ROR,0
21,ROR,
22,COR,0
23,COR,0
24,COR,0
25,COR,16
26,ROR,0
27,STD,16
28,STD,16
29,EVR,0
30,EVR,2
31,LVR,36
32,LVR,16
33,ROR,4
34,ROR,0
35,ROR,4
36,STD,0
37,STD,4
38,STD,4
39,LVR,4
40,LVR,8
41,AOR,
42,AOR,0
43,AOR,0
44,AOR,0
45,STD,0
46,LVR,0
47,EVR,0
48,EVR,0
49,LVR,0
50,LVR,0
51,ROR,0
52,ROR,0
53,ROR,0
54,COR,0
55,COR,0
56,COR,0
57,COR,12
58,EVR,0
59,STD,0
60,STD,0
61,EVR,0
62,EVR,0
63,EVR,0
