mutant_id,mutation,failing_test
1,STD,0
2,STD,0
3,COR,0
4,COR,0
5,EVR,0
6,EVR,0
7,EVR,0
8,EVR,0
9,EVR,0
10,LVR,0
11,LVR,0
12,ROR,0
13,ROR,0
14,ROR,0
15,EVR,0
16,LVR,0
17,LVR,0
18,LVR,0
19,ROR,0
20,ROR,0
21,ROR,
22,COR,0
23,COR,0
24,COR,0
25,COR,0
26,ROR,0
27,STD,4
28,STD,0
29,EVR,0
30,EVR,3
31,LVR,0
32,LVR,0
33,ROR,0
34,ROR,0
35,ROR,0
36,STD,0
37,STD,0
38,STD,0
39,LVR,0
40,LVR,0
41,AOR,0
42,AOR,0
43,AOR,0
44,AOR,0
45,STD,0
46,EVR,0
47,EVR,0
48,LVR,0
49,LVR,0
50,ROR,0
51,ROR,0
52,ROR,0
53,COR,4
54,COR,12
55,COR,24
56,COR,0
57,EVR,
58,STD,0
59,STD,0
60,LVR,0
61,EVR,0
62,EVR,0
63,EVR,0
