mutant_id,mutation,failing_test
1,STD,0
2,LVR,17
3,LVR,
4,LVR,17
5,COR,
6,COR,17
7,LVR,17
8,ROR,17
9,ROR,17
10,ROR,17
11,COR,
12,COR,17
13,LVR,9
14,STD,17
15,STD,17
16,STD,17
17,EVR,17
18,LVR,17
19,LVR,17
20,STD,17
21,STD,17
22,STD,17
23,LVR,17
24,LVR,17
25,STD,17
26,STD,17
27,LVR,17
28,STD,17
29,LVR,17
30,LVR,17
31,LVR,17
32,LVR,17
33,LVR,17
34,LVR,17
35,LVR,17
36,LVR,17
37,LVR,17
38,LVR,17
39,AOR,17
40,AOR,17
41,AOR,17
42,AOR,17
43,STD,13
44,AOR,13
45,AOR,0
46,AOR,17
47,AOR,17
48,LVR,17
49,LVR,17
50,AOR,17
51,AOR,17
52,AOR,17
53,AOR,17
54,LVR,17
55,LVR,17
56,ROR,17
57,ROR,17
58,ROR,17
59,AOR,17
60,AOR,17
61,AOR,17
62,AOR,17
63,LVR,17
64,LVR,17
65,AOR,17
66,AOR,17
67,AOR,17
68,AOR,17
69,LVR,17
70,LVR,17
71,ROR,17
72,ROR,17
73,ROR,17
74,AOR,17
75,AOR,17
76,AOR,17
77,AOR,17
78,LVR,17
79,LVR,17
80,AOR,17
81,AOR,17
82,AOR,17
83,AOR,17
84,ROR,17
85,ROR,17
86,ROR,17
87,LVR,17
88,EVR,17
89,LVR,17
90,COR,17
91,COR,17
92,STD,17
93,LVR,17
94,LVR,17
95,SOR,17
96,SOR,17
97,LVR,17
98,LVR,17
99,AOR,17
100,AOR,17
101,AOR,17
102,AOR,17
103,LVR,17
104,LVR,17
105,LVR,17
106,LVR,17
107,STD,20
108,STD,0
109,LVR,0
110,LVR,19
111,AOR,0
112,AOR,17
113,AOR,17
114,AOR,13
115,STD,35
116,STD,0
117,EVR,15
118,LVR,17
119,LVR,25
120,ROR,17
121,ROR,25
122,ROR,17
123,LVR,0
124,LVR,17
125,AOR,17
126,AOR,17
127,AOR,0
128,AOR,
129,LVR,
130,LVR,
131,SOR,
132,SOR,
133,ROR,
134,ROR,17
135,ROR,17
136,LVR,
137,COR,17
138,COR,17
139,STD,
140,LVR,17
141,LVR,17
142,AOR,17
143,AOR,17
144,AOR,17
145,AOR,17
146,LVR,17
147,LVR,17
148,SOR,17
149,SOR,17
150,LVR,17
151,LVR,17
152,AOR,17
153,AOR,17
154,AOR,17
155,AOR,9
156,LVR,17
157,LVR,17
158,SOR,17
159,SOR,17
160,STD,17
