mutant_id,mutation,failing_test
1,STD,0
2,LVR,6
3,LVR,
4,LVR,6
5,COR,
6,COR,6
7,LVR,6
8,ROR,3
9,ROR,6
10,ROR,6
11,COR,
12,COR,3
13,LVR,6
14,STD,3
15,STD,3
16,STD,3
17,EVR,3
18,LVR,3
19,LVR,6
20,STD,6
21,STD,6
22,STD,3
23,LVR,6
24,LVR,6
25,STD,3
26,STD,6
27,LVR,3
28,STD,3
29,LVR,3
30,LVR,3
31,LVR,3
32,LVR,3
33,LVR,3
34,LVR,3
35,LVR,3
36,LVR,3
37,LVR,6
38,LVR,3
39,AOR,3
40,AOR,3
41,AOR,6
42,AOR,6
43,STD,3
44,AOR,6
45,AOR,0
46,AOR,6
47,AOR,3
48,LVR,3
49,LVR,3
50,AOR,3
51,AOR,3
52,AOR,3
53,AOR,3
54,LVR,3
55,LVR,6
56,ROR,3
57,ROR,6
58,ROR,3
59,AOR,3
60,AOR,3
61,AOR,3
62,AOR,3
63,LVR,3
64,LVR,3
65,AOR,3
66,AOR,6
67,AOR,3
68,AOR,6
69,LVR,6
70,LVR,6
71,ROR,3
72,ROR,3
73,ROR,3
74,AOR,3
75,AOR,3
76,AOR,3
77,AOR,3
78,LVR,3
79,LVR,6
80,AOR,6
81,AOR,3
82,AOR,6
83,AOR,3
84,ROR,6
85,ROR,3
86,ROR,3
87,LVR,6
88,EVR,3
89,LVR,6
90,COR,3
91,COR,6
92,STD,3
93,LVR,3
94,LVR,3
95,SOR,3
96,SOR,3
97,LVR,3
98,LVR,3
99,AOR,3
100,AOR,6
101,AOR,3
102,AOR,6
103,LVR,6
104,LVR,3
105,LVR,3
106,LVR,3
107,STD,9
108,STD,0
109,LVR,0
110,LVR,6
111,AOR,0
112,AOR,3
113,AOR,6
114,AOR,6
115,STD,18
116,STD,0
117,EVR,8
118,LVR,8
119,LVR,15
120,ROR,3
121,ROR,15
122,ROR,3
123,LVR,0
124,LVR,6
125,AOR,3
126,AOR,3
127,AOR,0
128,AOR,
129,LVR,
130,LVR,
131,SOR,
132,SOR,
133,ROR,
134,ROR,3
135,ROR,3
136,LVR,
137,COR,3
138,COR,3
139,STD,
140,LVR,3
141,LVR,3
142,AOR,3
143,AOR,3
144,AOR,3
145,AOR,3
146,LVR,3
147,LVR,3
148,SOR,3
149,SOR,3
150,LVR,3
151,LVR,3
152,AOR,
153,AOR,3
154,AOR,3
155,AOR,6
156,LVR,3
157,LVR,3
158,SOR,3
159,SOR,3
160,STD,3
161,STD,3
162,LVR,3
163,LVR,3
164,AOR,3
165,AOR,3
166,AOR,3
167,AOR,3
168,LVR,6
169,LVR,3
170,SOR,6
171,SOR,3
172,STD,6
173,LVR,
174,LVR,3
175,AOR,
176,AOR,0
177,AOR,3
178,AOR,3
179,STD,0
180,STD,3
181,LVR,
182,LVR,3
183,LVR,3
184,LVR,3
185,AOR,3
186,AOR,3
187,AOR,3
188,AOR,3
189,STD,3
190,STD,
191,STD,3
192,LVR,3
193,LVR,6
194,LVR,
195,STD,3
196,EVR,28
197,STD,5
198,LVR,0
199,LVR,6
200,STD,3
201,LVR,6
202,LVR,3
203,LVR,3
204,LVR,3
205,LVR,6
206,LVR,3
207,LVR,3
208,LVR,3
209,AOR,3
210,AOR,6
211,AOR,6
212,AOR,3
213,LVR,6
214,LVR,6
215,AOR,9
216,AOR,12
217,AOR,11
218,AOR,11
219,LVR,11
220,LVR,11
221,ROR,11
222,ROR,11
223,ROR,3
224,AOR,3
225,AOR,9
226,AOR,3
227,AOR,6
228,LVR,3
229,LVR,0
230,AOR,0
231,AOR,0
232,AOR,0
233,AOR,0
