mutant_id,mutation,failing_test
1,STD,0
2,EVR,0
3,STD,0
4,STD,0
5,STD,0
6,STD,0
7,LVR,0
8,LVR,0
9,AOR,5
10,AOR,0
11,AOR,2
12,AOR,0
13,STD,5
14,STD,0
15,STD,2
16,LVR,2
17,LVR,0
18,AOR,0
19,AOR,0
20,AOR,2
21,AOR,0
22,STD,0
23,STD,0
24,LVR,4
25,LVR,4
26,STD,4
27,LVR,2
28,LVR,
29,STD,2
30,AOR,0
31,AOR,0
32,AOR,0
33,AOR,0
34,LVR,0
35,EVR,0
36,LVR,0
37,LVR,0
38,LVR,0
39,LVR,0
40,ROR,0
41,ROR,0
42,ROR,0
43,AOR,0
44,AOR,0
45,AOR,0
46,AOR,0
47,STD,0
48,STD,2
49,EVR,0
50,AOR,0
51,AOR,0
52,AOR,
53,AOR,2
54,STD,0
55,STD,0
56,LVR,0
