mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,0,0,0
2,EVR,3,3,0
3,STD,3,3,0
4,STD,9,2,7
5,STD,3,3,0
6,STD,3,3,0
7,LVR,3,3,0
8,LVR,3,3,0
9,AOR,3,3,0
10,AOR,27,0,27
11,AOR,3,3,0
12,AOR,17,0,17
13,STD,3,3,0
14,STD,27,0,27
15,STD,3,3,0
16,LVR,3,3,0
17,LVR,2,2,0
18,AOR,2,2,0
19,AOR,1,1,0
20,AOR,8,8,0
21,AOR,8,8,0
22,STD,4,4,0
23,STD,3,3,0
24,LVR,4,2,2
25,LVR,12,12,0
26,STD,11,11,0
27,LVR,13,11,2
28,LVR,0,0,0
29,STD,3,3,0
30,AOR,0,0,0
31,AOR,0,0,0
32,AOR,0,0,0
33,AOR,0,0,0
34,LVR,2,2,0
35,EVR,7,7,0
36,LVR,0,0,0
37,LVR,1,1,0
38,LVR,1,1,0
39,LVR,1,1,0
40,ROR,1,1,0
41,ROR,1,1,0
42,ROR,1,1,0
43,AOR,7,7,0
44,AOR,8,8,0
45,AOR,2,2,0
46,AOR,5,3,2
47,STD,3,3,0
48,STD,3,3,0
49,EVR,5,3,2
50,AOR,1,1,0
51,AOR,3,3,0
52,AOR,0,0,0
53,AOR,3,3,0
54,STD,3,3,0
55,STD,3,3,0
56,LVR,9,2,7
