mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,LVR,16,0,16
2,LVR,0,0,0
3,ROR,8,8,0
4,ROR,8,8,0
5,ROR,0,0,0
6,LVR,411,0,411
7,LVR,216,180,36
8,AOR,357,357,0
9,AOR,357,284,73
10,AOR,357,357,0
11,AOR,360,282,78
12,STD,357,295,62
13,STD,360,282,78
14,LVR,6,6,0
15,LVR,352,223,129
16,STD,57,0,57
17,LVR,38,0,38
18,LVR,24,24,0
19,STD,0,0,0
20,STD,24,24,0
21,COR,0,0,0
22,COR,6,6,0
23,EVR,31,31,0
24,LVR,31,31,0
25,EVR,5,5,0
26,ROR,31,31,0
27,ROR,31,31,0
28,ROR,31,31,0
29,AOR,198,198,0
30,AOR,198,198,0
31,AOR,6,6,0
32,AOR,198,198,0
33,LVR,198,198,0
34,LVR,198,198,0
35,AOR,198,198,0
36,AOR,6,6,0
37,AOR,198,198,0
38,AOR,198,198,0
39,AOR,198,198,0
40,AOR,6,6,0
41,AOR,198,198,0
42,AOR,198,198,0
43,AOR,198,198,0
44,AOR,36,36,0
45,AOR,294,294,0
46,AOR,294,294,0
47,EVR,411,0,411
48,LVR,294,294,0
49,LVR,294,294,0
50,AOR,294,294,0
51,AOR,294,294,0
52,AOR,222,222,0
53,AOR,71,11,60
54,EVR,0,0,0
55,ROR,340,283,57
56,ROR,0,0,0
57,ROR,0,0,0
58,LVR,0,0,0
59,LVR,0,0,0
60,ROR,0,0,0
61,ROR,0,0,0
62,ROR,270,141,129
63,ROR,0,0,0
64,ROR,0,0,0
65,ROR,11,4,7
66,LVR,3,2,1
67,LVR,0,0,0
68,AOR,11,4,7
69,AOR,0,0,0
70,AOR,3,2,1
71,AOR,11,4,7
72,ROR,0,0,0
73,ROR,12,5,7
74,ROR,0,0,0
75,EVR,0,0,0
76,COR,0,0,0
77,COR,129,0,129
78,STD,43,5,38
79,ROR,71,11,60
80,ROR,0,0,0
81,ROR,0,0,0
82,LVR,0,0,0
83,LVR,0,0,0
84,STD,0,0,0
85,LVR,0,0,0
86,LVR,71,11,60
87,AOR,38,36,2
88,AOR,38,36,2
89,AOR,71,11,60
90,AOR,38,36,2
91,STD,0,0,0
92,COR,71,11,60
93,COR,71,11,60
94,ROR,58,58,0
95,ROR,32,0,32
96,ROR,8,8,0
97,LVR,0,0,0
98,LVR,0,0,0
99,STD,0,0,0
100,STD,0,0,0
101,STD,0,0,0
