mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,LVR,11,0,11
2,LVR,0,0,0
3,ROR,0,0,0
4,ROR,0,0,0
5,ROR,0,0,0
6,LVR,14,0,14
7,LVR,4,3,1
8,AOR,11,7,4
9,AOR,8,7,1
10,AOR,11,7,4
11,AOR,10,5,5
12,STD,7,6,1
13,STD,10,5,5
14,LVR,0,0,0
15,LVR,12,6,6
16,STD,1,0,1
17,LVR,1,0,1
18,LVR,0,0,0
19,STD,0,0,0
20,STD,2,2,0
21,COR,1,1,0
22,COR,1,1,0
23,EVR,1,1,0
24,EVR,1,1,0
25,ROR,1,1,0
26,ROR,1,1,0
27,ROR,1,1,0
28,AOR,4,4,0
29,AOR,4,4,0
30,AOR,3,3,0
31,AOR,4,4,0
32,LVR,4,4,0
33,LVR,4,4,0
34,AOR,2,2,0
35,AOR,4,4,0
36,AOR,0,0,0
37,AOR,4,4,0
38,AOR,4,4,0
39,AOR,3,3,0
40,AOR,4,4,0
41,AOR,4,4,0
42,AOR,4,4,0
43,AOR,4,4,0
44,AOR,10,4,6
45,AOR,6,6,0
46,EVR,6,6,0
47,LVR,14,0,14
48,LVR,10,4,6
49,AOR,6,6,0
50,AOR,10,4,6
51,AOR,2,2,0
52,AOR,4,0,4
53,EVR,2,0,2
54,ROR,5,4,1
55,ROR,1,1,0
56,ROR,1,1,0
57,LVR,0,0,0
58,LVR,0,0,0
59,ROR,4,0,4
60,ROR,1,1,0
61,ROR,6,0,6
62,ROR,0,0,0
63,ROR,1,1,0
64,ROR,4,0,4
65,LVR,1,1,0
66,LVR,1,1,0
67,AOR,4,0,4
68,AOR,1,1,0
69,AOR,0,0,0
70,AOR,4,0,4
71,ROR,0,0,0
72,ROR,4,0,4
73,ROR,1,1,0
74,EVR,2,2,0
75,COR,2,2,0
76,COR,6,0,6
77,STD,3,2,1
78,ROR,5,1,4
79,ROR,0,0,0
80,ROR,0,0,0
81,LVR,1,1,0
82,LVR,4,4,0
83,STD,4,4,0
84,LVR,4,2,2
85,LVR,5,1,4
86,AOR,6,6,0
87,AOR,6,6,0
88,AOR,5,1,4
89,AOR,6,6,0
90,STD,5,1,4
91,COR,0,0,0
92,COR,5,1,4
93,ROR,1,1,0
94,ROR,4,0,4
95,ROR,4,0,4
96,LVR,0,0,0
97,LVR,1,1,0
98,STD,1,1,0
99,STD,0,0,0
100,STD,1,1,0
101,LVR,4,0,4
