mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,ROR,0,0,0
2,ROR,0,0,0
3,ROR,0,0,0
4,LVR,0,0,0
5,LVR,0,0,0
6,ROR,0,0,0
7,ROR,138,138,0
8,ROR,138,138,0
9,AOR,0,0,0
10,AOR,137,137,0
11,AOR,137,24,113
12,AOR,127,0,127
13,ORU,138,74,64
14,ORU,138,62,76
15,ORU,138,8,130
16,ORU,82,0,82
17,LVR,0,0,0
18,EVR,0,0,0
19,AOR,8,0,8
20,AOR,0,0,0
21,AOR,0,0,0
22,AOR,82,0,82
23,LOR,0,0,0
24,LOR,64,0,64
25,LVR,64,0,64
26,LVR,13,0,13
27,ROR,0,0,0
28,ROR,112,0,112
29,ROR,13,0,13
30,LOR,0,0,0
31,LOR,128,0,128
32,LVR,122,0,122
33,LVR,137,137,0
34,ROR,0,0,0
35,ROR,0,0,0
36,ROR,0,0,0
37,LOR,0,0,0
38,LOR,0,0,0
39,EVR,0,0,0
