mutant_id,mutation,failing_test
1,STD,0
2,LVR,6
3,LVR,0
4,STD,0
5,LVR,0
6,LVR,6
7,STD,
8,LVR,24
9,LVR,0
10,AOR,0
11,AOR,
12,AOR,18
13,AOR,0
14,STD,0
15,LVR,0
16,LVR,8
17,ROR,
18,ROR,15
19,ROR,6
20,ROR,13
21,ROR,6
22,ROR,0
23,LVR,
24,LVR,0
25,STD,4
26,LVR,0
27,LVR,0
28,STD,0
29,LVR,6
30,LVR,2
31,AOR,0
32,AOR,2
33,AOR,0
34,AOR,0
35,STD,0
36,LVR,0
37,LVR,0
38,STD,
39,COR,
40,COR,
41,EVR,0
42,EVR,0
43,COR,4
44,COR,0
45,STD,15
46,EVR,4
47,STD,0
48,ROR,0
49,ROR,0
50,ROR,0
51,LVR,0
52,LVR,0
53,STD,0
54,EVR,10
55,EVR,0
56,COR,13
57,COR,10
58,ROR,6
59,ROR,0
60,ROR,0
61,LVR,6
62,LVR,14
63,STD,
64,STD,
65,STD,0
66,LVR,0
67,STD,0
