mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,608,0,608
2,LVR,67,64,3
3,LVR,384,0,384
4,STD,384,0,384
5,LVR,384,0,384
6,LVR,67,64,3
7,STD,546,312,234
8,LVR,492,487,5
9,LVR,0,0,0
10,AOR,177,173,4
11,AOR,545,238,307
12,AOR,489,485,4
13,AOR,499,88,411
14,STD,0,0,0
15,LVR,2,2,0
16,LVR,47,46,1
17,ROR,196,79,117
18,ROR,35,35,0
19,ROR,99,98,1
20,ROR,113,0,113
21,ROR,1,1,0
22,ROR,184,0,184
23,LVR,541,398,143
24,LVR,0,0,0
25,STD,101,100,1
26,LVR,184,0,184
27,LVR,184,0,184
28,STD,184,0,184
29,LVR,94,93,1
30,LVR,1,0,1
31,AOR,323,0,323
32,AOR,0,0,0
33,AOR,2,0,2
34,AOR,0,0,0
35,STD,66,63,3
36,LVR,66,63,3
37,LVR,0,0,0
38,STD,66,63,3
39,COR,65,38,27
40,COR,189,71,118
41,EVR,65,39,26
42,LVR,127,10,117
43,EVR,117,116,1
44,COR,0,0,0
45,COR,71,69,2
46,STD,18,18,0
47,STD,0,0,0
48,EVR,18,18,0
49,STD,0,0,0
50,ROR,0,0,0
51,ROR,0,0,0
52,ROR,117,116,1
53,LVR,0,0,0
54,LVR,411,0,411
55,STD,40,38,2
56,EVR,158,0,158
57,COR,0,0,0
58,COR,156,152,4
59,ROR,158,152,6
60,ROR,411,0,411
61,ROR,411,0,411
62,LVR,156,152,4
63,LVR,177,173,4
64,STD,85,0,85
65,STD,0,0,0
66,STD,384,0,384
67,STD,0,0,0
