mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,511,0,511
2,LVR,50,47,3
3,LVR,319,0,319
4,STD,319,0,319
5,LVR,319,0,319
6,LVR,50,47,3
7,STD,449,260,189
8,LVR,406,401,5
9,LVR,0,0,0
10,AOR,136,132,4
11,AOR,449,199,250
12,AOR,404,400,4
13,AOR,415,74,341
14,STD,0,0,0
15,LVR,2,2,0
16,LVR,32,31,1
17,ROR,148,62,86
18,ROR,25,25,0
19,ROR,75,74,1
20,ROR,85,0,85
21,ROR,0,0,0
22,ROR,144,0,144
23,LVR,443,328,115
24,LVR,0,0,0
25,STD,75,74,1
26,LVR,144,0,144
27,LVR,144,0,144
28,STD,144,0,144
29,LVR,71,70,1
30,LVR,1,0,1
31,AOR,254,0,254
32,AOR,0,0,0
33,AOR,0,0,0
34,AOR,0,0,0
35,STD,1,0,1
36,LVR,48,45,3
37,LVR,1,0,1
38,STD,48,45,3
39,LVR,38,33,5
40,COR,151,57,94
41,COR,37,33,4
42,STD,102,9,93
43,EVR,88,87,1
44,COR,0,0,0
45,COR,54,52,2
46,STD,13,13,0
47,STD,0,0,0
48,EVR,13,13,0
49,STD,0,0,0
50,ROR,0,0,0
51,ROR,0,0,0
52,ROR,88,87,1
53,LVR,0,0,0
54,LVR,341,0,341
55,STD,28,27,1
56,EVR,127,0,127
57,COR,0,0,0
58,COR,118,114,4
59,ROR,119,114,5
60,ROR,341,0,341
61,ROR,341,0,341
62,LVR,118,114,4
63,LVR,136,132,4
64,STD,67,0,67
65,STD,0,0,0
66,STD,319,0,319
67,STD,0,0,0
