mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,300,10,290
2,LVR,26,16,10
3,LVR,26,16,10
4,STD,94,37,57
5,LVR,26,16,10
6,LVR,26,16,10
7,ROR,26,16,10
8,ROR,232,29,203
9,ROR,0,0,0
10,LVR,26,16,10
11,LVR,157,0,157
12,AOR,132,95,37
13,AOR,179,0,179
14,AOR,157,0,157
15,AOR,178,0,178
16,ROR,0,0,0
17,ROR,157,0,157
18,ROR,178,0,178
19,LVR,157,0,157
20,LVR,0,0,0
21,LVR,80,56,24
22,LVR,90,62,28
23,AOR,142,87,55
24,AOR,22,22,0
25,AOR,120,0,120
26,AOR,67,64,3
27,STD,120,0,120
28,LVR,67,64,3
29,LVR,0,0,0
30,STD,67,64,3
31,COR,51,0,51
32,COR,58,0,58
33,STD,27,27,0
34,EVR,132,95,37
35,LVR,10,0,10
36,EVR,203,0,203
37,COR,129,70,59
38,COR,100,0,100
39,STD,34,32,2
40,COR,100,0,100
41,COR,33,31,2
42,STD,18,18,0
43,COR,33,31,2
44,COR,273,70,203
45,STD,240,43,197
46,EVR,0,0,0
47,STD,129,70,59
48,EVR,234,42,192
