mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,819,0,819
2,STD,340,182,158
3,COR,436,301,135
4,COR,85,20,65
5,EVR,340,182,158
6,EVR,436,301,135
7,EVR,393,178,215
8,EVR,220,220,0
9,EVR,570,0,570
10,LVR,509,509,0
11,LVR,0,0,0
12,ROR,796,0,796
13,ROR,509,0,509
14,ROR,232,232,0
15,EVR,221,0,221
16,LVR,0,0,0
17,LVR,16,16,0
18,LVR,509,0,509
19,ROR,232,232,0
20,ROR,232,232,0
21,ROR,281,0,281
22,COR,232,232,0
23,COR,238,0,238
24,COR,705,0,705
25,COR,196,196,0
26,ROR,705,0,705
27,STD,22,22,0
28,STD,196,196,0
29,EVR,705,0,705
30,EVR,47,28,19
31,LVR,705,321,384
32,LVR,561,66,495
33,ROR,705,705,0
34,ROR,130,0,130
35,ROR,705,705,0
36,STD,261,261,0
37,STD,705,705,0
38,STD,705,705,0
39,LVR,705,705,0
40,LVR,705,705,0
41,AOR,261,261,0
42,AOR,215,0,215
43,AOR,107,0,107
44,AOR,0,0,0
45,STD,8,0,8
46,EVR,0,0,0
47,EVR,0,0,0
48,LVR,215,0,215
49,LVR,215,0,215
50,ROR,135,0,135
51,ROR,215,0,215
52,ROR,0,0,0
53,COR,65,45,20
54,COR,133,76,57
55,COR,22,19,3
56,COR,236,225,11
57,EVR,0,0,0
58,STD,65,65,0
59,STD,705,0,705
60,LVR,705,0,705
61,EVR,236,225,11
62,EVR,415,200,215
63,EVR,415,200,215
