mutant_id,mutation,failing_test
1,STD,
2,STD,
3,LVR,
4,COR,
5,COR,
6,LVR,
7,ROR,
8,ROR,
9,ROR,
10,COR,
11,COR,
12,LVR,
13,STD,
14,STD,
15,STD,
16,STD,
17,LVR,
18,COR,
19,COR,
20,LVR,
21,ROR,
22,ROR,
23,ROR,
24,COR,
25,COR,
26,LVR,
27,STD,
28,STD,
29,STD,
30,STD,
31,LVR,
32,STD,
33,EVR,
34,LVR,
35,EVR,
36,LVR,
37,LVR,
38,LVR,
39,COR,
40,COR,
41,STD,
42,STD,
43,LVR,
44,LVR,
45,COR,
46,COR,
47,STD,
48,STD,
49,COR,
50,COR,
51,LVR,
52,ROR,
53,ROR,
54,ROR,
55,COR,
56,COR,
57,LVR,
58,STD,
59,STD,
60,STD,
61,EVR,
62,STD,
63,LVR,
64,STD,
65,EVR,
66,ROR,
67,ROR,
68,ROR,
69,EVR,
