mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,13,0,13
2,STD,15,5,10
3,LVR,10,0,10
4,COR,11,1,10
5,COR,11,1,10
6,LVR,34,0,34
7,ROR,10,0,10
8,ROR,34,0,34
9,ROR,190,0,190
10,COR,190,0,190
11,COR,10,0,10
12,LVR,11,1,10
13,STD,22,12,10
14,STD,10,0,10
15,STD,10,0,10
16,STD,10,0,10
17,LVR,22,12,10
18,COR,10,0,10
19,COR,10,0,10
20,LVR,10,0,10
21,ROR,190,0,190
22,ROR,22,12,10
23,ROR,40,0,40
24,COR,18,0,18
25,COR,10,0,10
26,LVR,14,4,10
27,STD,25,15,10
28,STD,10,0,10
29,STD,25,15,10
30,STD,10,0,10
31,LVR,10,0,10
32,STD,10,0,10
33,EVR,10,0,10
34,LVR,40,0,40
35,EVR,10,0,10
36,LVR,10,0,10
37,LVR,10,0,10
38,LVR,10,0,10
39,COR,10,0,10
40,COR,10,0,10
41,STD,1,0,1
42,STD,10,0,10
43,LVR,1,0,1
44,LVR,10,0,10
45,COR,11,1,10
46,COR,10,0,10
47,STD,10,0,10
48,STD,10,0,10
49,COR,10,0,10
50,COR,10,0,10
51,LVR,10,0,10
52,ROR,10,0,10
53,ROR,10,0,10
54,ROR,10,0,10
55,COR,10,0,10
56,COR,15,5,10
57,LVR,10,0,10
58,STD,200,190,10
59,STD,200,190,10
60,STD,10,0,10
61,EVR,10,0,10
62,STD,106,0,106
63,LVR,15,5,10
64,STD,15,5,10
65,EVR,103,93,10
66,ROR,10,0,10
67,ROR,10,0,10
68,ROR,10,0,10
69,EVR,11,1,10
