mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,0,0,0
2,EVR,3,3,0
3,STD,3,3,0
4,STD,9,2,7
5,STD,3,3,0
6,STD,3,3,0
7,LVR,3,3,0
8,LVR,3,3,0
9,AOR,3,3,0
10,AOR,26,0,26
11,AOR,3,3,0
12,AOR,17,0,17
13,STD,3,3,0
14,STD,26,0,26
15,STD,3,3,0
16,LVR,3,3,0
17,LVR,2,2,0
18,AOR,2,2,0
19,AOR,1,1,0
20,AOR,8,8,0
21,AOR,8,8,0
22,STD,4,4,0
23,STD,3,3,0
24,LVR,4,2,2
25,LVR,12,12,0
26,STD,11,11,0
27,LVR,13,11,2
28,LVR,0,0,0
29,STD,0,0,0
30,AOR,0,0,0
31,AOR,0,0,0
32,AOR,7,7,0
33,AOR,0,0,0
34,LVR,2,2,0
35,LVR,1,1,0
36,LVR,1,1,0
37,LVR,1,1,0
38,ROR,1,1,0
39,ROR,1,1,0
40,ROR,1,1,0
41,AOR,7,7,0
42,AOR,8,8,0
43,AOR,5,3,2
44,AOR,3,3,0
45,STD,2,2,0
46,STD,3,3,0
47,EVR,5,3,2
48,AOR,1,1,0
49,AOR,3,3,0
50,AOR,0,0,0
51,AOR,3,3,0
52,STD,3,3,0
53,STD,3,3,0
54,LVR,9,2,7
