mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,LVR,20,0,20
2,LVR,0,0,0
3,ROR,0,0,0
4,ROR,11,11,0
5,ROR,0,0,0
6,LVR,495,0,495
7,LVR,265,215,50
8,AOR,432,431,1
9,AOR,432,339,93
10,AOR,432,431,1
11,AOR,436,343,93
12,STD,433,355,78
13,STD,436,343,93
14,LVR,9,9,0
15,LVR,428,261,167
16,STD,68,0,68
17,LVR,52,0,52
18,LVR,34,33,1
19,STD,34,33,1
20,STD,0,0,0
21,COR,7,7,0
22,COR,40,40,0
23,EVR,40,40,0
24,EVR,40,40,0
25,ROR,5,5,0
26,ROR,40,40,0
27,ROR,40,40,0
28,AOR,238,238,0
29,AOR,238,238,0
30,AOR,7,7,0
31,AOR,238,238,0
32,LVR,238,238,0
33,LVR,238,238,0
34,AOR,238,238,0
35,AOR,238,238,0
36,AOR,9,9,0
37,AOR,238,238,0
38,AOR,238,238,0
39,AOR,7,7,0
40,AOR,238,238,0
41,AOR,238,238,0
42,AOR,238,238,0
43,AOR,46,46,0
44,AOR,353,353,0
45,AOR,352,352,0
46,EVR,352,352,0
47,LVR,495,0,495
48,LVR,353,353,0
49,AOR,352,352,0
50,AOR,353,353,0
51,AOR,280,280,0
52,AOR,90,13,77
53,EVR,0,0,0
54,ROR,414,346,68
55,ROR,0,0,0
56,ROR,0,0,0
57,LVR,0,0,0
58,LVR,0,0,0
59,ROR,0,0,0
60,ROR,0,0,0
61,ROR,330,163,167
62,ROR,0,0,0
63,ROR,0,0,0
64,ROR,14,6,8
65,LVR,4,3,1
66,LVR,0,0,0
67,AOR,14,6,8
68,AOR,4,3,1
69,AOR,0,0,0
70,AOR,14,6,8
71,ROR,0,0,0
72,ROR,16,8,8
73,ROR,0,0,0
74,EVR,0,0,0
75,COR,0,0,0
76,COR,167,0,167
77,STD,57,5,52
78,ROR,90,13,77
79,ROR,0,0,0
80,ROR,0,0,0
81,LVR,0,0,0
82,LVR,0,0,0
83,STD,0,0,0
84,LVR,0,0,0
85,LVR,90,13,77
86,AOR,49,47,2
87,AOR,49,47,2
88,AOR,90,13,77
89,AOR,49,47,2
90,STD,90,13,77
91,COR,0,0,0
92,COR,90,13,77
93,ROR,70,70,0
94,ROR,40,0,40
95,ROR,11,10,1
96,LVR,0,0,0
97,LVR,0,0,0
98,STD,0,0,0
99,STD,0,0,0
100,LVR,0,0,0
101,STD,11,10,1
