mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,25,25,0
2,LVR,148,148,0
3,LVR,148,148,0
4,AOR,148,148,0
5,AOR,148,148,0
6,AOR,148,148,0
7,AOR,148,148,0
8,STD,148,148,0
9,LVR,122,122,0
10,LVR,357,357,0
11,LVR,0,0,0
12,LVR,123,123,0
13,AOR,357,357,0
14,AOR,198,198,0
15,AOR,198,198,0
16,AOR,193,193,0
17,STD,198,198,0
18,EVR,198,198,0
19,LVR,198,198,0
20,EVR,194,194,0
21,LVR,123,123,0
22,LVR,119,119,0
23,AOR,123,123,0
24,AOR,123,123,0
25,AOR,123,123,0
26,AOR,119,119,0
27,STD,148,148,0
