mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,ROR,0,0,0
2,ROR,2,1,1
3,ROR,2,1,1
4,LVR,0,0,0
5,LVR,0,0,0
6,ROR,1,1,0
7,ROR,0,0,0
8,ROR,1,0,1
9,AOR,1,1,0
10,AOR,1,1,0
11,AOR,0,0,0
12,AOR,1,1,0
13,ORU,0,0,0
14,ORU,0,0,0
15,ORU,3,2,1
16,ORU,3,3,0
17,LVR,0,0,0
18,EVR,2,2,0
19,AOR,3,2,1
20,AOR,3,3,0
21,AOR,3,3,0
22,AOR,3,2,1
23,LOR,2,1,1
24,LOR,1,1,0
25,LVR,0,0,0
26,LVR,0,0,0
27,ROR,1,1,0
28,ROR,0,0,0
29,ROR,1,0,1
30,LOR,1,1,0
31,LOR,0,0,0
32,LVR,1,0,1
33,LVR,0,0,0
34,ROR,0,0,0
35,ROR,1,0,1
36,ROR,1,1,0
37,LOR,2,0,2
38,LOR,1,0,1
39,EVR,1,1,0
