mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,ROR,0,0,0
2,ROR,56,0,56
3,ROR,0,0,0
4,LVR,0,0,0
5,LVR,0,0,0
6,ROR,0,0,0
7,ROR,0,0,0
8,ROR,0,0,0
9,AOR,0,0,0
10,AOR,0,0,0
11,AOR,0,0,0
12,AOR,0,0,0
13,ORU,0,0,0
14,ORU,0,0,0
15,ORU,65,65,0
16,ORU,65,65,0
17,LVR,0,0,0
18,EVR,64,64,0
19,AOR,64,10,54
20,AOR,65,35,30
21,AOR,65,32,33
22,AOR,65,4,61
23,LOR,33,0,33
24,LOR,0,0,0
25,LVR,0,0,0
26,LVR,5,0,5
27,ROR,0,0,0
28,ROR,0,0,0
29,ROR,33,0,33
30,LOR,30,0,30
31,LOR,30,0,30
32,LVR,5,0,5
33,LVR,0,0,0
34,ROR,53,0,53
35,ROR,5,0,5
36,ROR,0,0,0
37,LOR,60,0,60
38,LOR,53,0,53
39,EVR,64,64,0
