mutant_id,mutation,failing_test
1,STD,11
2,ROR,20
3,ROR,0
4,ROR,20
5,STD,11
6,STD,14
7,STD,11
8,STD,12
9,ROR,20
10,ROR,0
11,ROR,20
12,STD,12
13,STD,14
14,STD,11
15,STD,9
16,EVR,0
17,EVR,0
18,EVR,0
19,EVR,0
20,EVR,0
21,EVR,0
22,EVR,0
23,COR,0
24,COR,8
25,LVR,0
26,LVR,0
27,EVR,6
28,EVR,8
29,ROR,8
30,ROR,0
31,ROR,6
32,EVR,8
33,EVR,8
34,LVR,
35,EVR,8
36,ROR,8
37,ROR,8
38,ROR,0
39,COR,0
40,COR,6
41,LVR,0
42,LVR,0
43,STD,0
44,AOR,2
45,AOR,8
46,AOR,8
47,AOR,8
48,COR,0
49,COR,8
50,LVR,0
51,LVR,0
52,STD,0
53,AOR,14
54,AOR,10
55,AOR,8
56,AOR,14
