mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,4,4,0
2,ROR,1,1,0
3,ROR,0,0,0
4,ROR,2,2,0
5,STD,2,2,0
6,STD,1,1,0
7,STD,5,5,0
8,STD,4,4,0
9,ROR,1,1,0
10,ROR,0,0,0
11,ROR,2,2,0
12,STD,2,2,0
13,STD,1,1,0
14,STD,5,5,0
15,STD,4,4,0
16,EVR,0,0,0
17,EVR,0,0,0
18,EVR,0,0,0
19,EVR,0,0,0
20,EVR,0,0,0
21,EVR,0,0,0
22,EVR,0,0,0
23,COR,0,0,0
24,COR,5,5,0
25,LVR,0,0,0
26,LVR,0,0,0
27,EVR,3,3,0
28,EVR,2,2,0
29,ROR,2,2,0
30,ROR,0,0,0
31,ROR,3,3,0
32,EVR,3,3,0
33,EVR,2,2,0
34,LVR,0,0,0
35,EVR,5,5,0
36,ROR,3,3,0
37,ROR,5,5,0
38,ROR,0,0,0
39,COR,0,0,0
40,COR,3,3,0
41,LVR,0,0,0
42,LVR,0,0,0
43,STD,0,0,0
44,AOR,4,4,0
45,AOR,7,7,0
46,AOR,5,5,0
47,AOR,8,8,0
48,COR,0,0,0
49,COR,3,3,0
50,LVR,0,0,0
51,LVR,0,0,0
52,STD,0,0,0
53,AOR,3,3,0
54,AOR,8,8,0
55,AOR,8,8,0
56,AOR,7,7,0
