mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,378,378,0
2,ROR,280,280,0
3,ROR,0,0,0
4,ROR,173,173,0
5,STD,81,81,0
6,STD,129,129,0
7,STD,292,292,0
8,STD,331,331,0
9,ROR,313,313,0
10,ROR,0,0,0
11,ROR,106,106,0
12,STD,92,92,0
13,STD,104,104,0
14,STD,147,147,0
15,STD,311,311,0
16,EVR,0,0,0
17,EVR,0,0,0
18,EVR,0,0,0
19,EVR,0,0,0
20,EVR,0,0,0
21,EVR,0,0,0
22,EVR,0,0,0
23,COR,0,0,0
24,COR,329,329,0
25,LVR,0,0,0
26,LVR,0,0,0
27,EVR,107,107,0
28,EVR,231,231,0
29,ROR,231,231,0
30,ROR,0,0,0
31,ROR,107,107,0
32,EVR,107,107,0
33,EVR,243,243,0
34,LVR,0,0,0
35,EVR,329,329,0
36,ROR,436,436,0
37,ROR,168,168,0
38,ROR,0,0,0
39,COR,0,0,0
40,COR,263,263,0
41,LVR,0,0,0
42,LVR,0,0,0
43,STD,0,0,0
44,AOR,262,262,0
45,AOR,377,377,0
46,AOR,283,283,0
47,AOR,340,340,0
48,COR,0,0,0
49,COR,380,380,0
50,LVR,0,0,0
51,LVR,0,0,0
52,STD,0,0,0
53,AOR,384,384,0
54,AOR,383,383,0
55,AOR,235,235,0
56,AOR,392,392,0
