mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,ROR,0,0,0
2,ROR,0,0,0
3,ROR,690,690,0
4,STD,0,0,0
5,ROR,0,0,0
6,ROR,0,0,0
7,ROR,690,690,0
8,ORU,0,0,0
9,ROR,1004,1004,0
10,ROR,0,0,0
11,ROR,0,0,0
12,COR,0,0,0
13,COR,537,537,0
14,COR,0,0,0
15,COR,334,334,0
16,STD,334,334,0
17,EVR,0,0,0
18,LVR,763,763,0
19,LVR,993,993,0
20,ROR,334,334,0
21,ROR,763,763,0
22,ROR,537,537,0
23,ROR,690,690,0
24,ROR,334,334,0
25,ROR,34,34,0
26,COR,239,239,0
27,COR,816,816,0
28,COR,978,978,0
29,COR,0,0,0
30,STD,596,596,0
31,LVR,0,0,0
32,LVR,0,0,0
33,ROR,596,596,0
34,ROR,0,0,0
35,ROR,1006,1006,0
36,AOR,0,0,0
37,AOR,1006,1006,0
38,AOR,0,0,0
39,AOR,0,0,0
40,EVR,690,690,0
41,LVR,690,690,0
42,EVR,0,0,0
