mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,LVR,0,0,0
2,LVR,1,1,0
3,ROR,0,0,0
4,ROR,1,1,0
5,ROR,1,1,0
6,LVR,2,2,0
7,LVR,0,0,0
8,ROR,0,0,0
9,ROR,1,1,0
10,ROR,0,0,0
11,COR,1,1,0
12,COR,0,0,0
13,COR,1,1,0
14,COR,0,0,0
15,LVR,1,1,0
16,LVR,1,1,0
17,ROR,1,1,0
18,ROR,0,0,0
19,ROR,1,1,0
20,LVR,2,2,0
21,LVR,1,1,0
22,ROR,0,0,0
23,ROR,1,1,0
24,ROR,1,1,0
25,COR,1,1,0
26,COR,3,3,0
27,COR,2,2,0
28,COR,1,1,0
29,COR,0,0,0
30,COR,0,0,0
31,COR,1,1,0
32,COR,0,0,0
33,EVR,0,0,0
34,LVR,0,0,0
35,LVR,1,0,1
36,ROR,1,1,0
37,ROR,2,0,2
38,ROR,1,1,0
39,ROR,1,0,1
40,ROR,0,0,0
41,ROR,2,2,0
42,COR,3,3,0
43,COR,0,0,0
44,COR,4,4,0
45,COR,2,2,0
46,ORU,0,0,0
47,ORU,0,0,0
48,LVR,1,1,0
49,EVR,0,0,0
