mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,LVR,0,0,0
2,LVR,8,8,0
3,ROR,36,36,0
4,ROR,0,0,0
5,ROR,26,26,0
6,LVR,7,7,0
7,LVR,9,9,0
8,ROR,29,29,0
9,ROR,7,7,0
10,ROR,26,26,0
11,COR,0,0,0
12,COR,36,36,0
13,COR,26,26,0
14,COR,26,26,0
15,LVR,0,0,0
16,LVR,2,2,0
17,ROR,26,26,0
18,ROR,0,0,0
19,ROR,16,16,0
20,LVR,3,3,0
21,LVR,2,2,0
22,ROR,23,23,0
23,ROR,3,3,0
24,ROR,16,16,0
25,COR,0,0,0
26,COR,16,16,0
27,COR,26,26,0
28,COR,26,26,0
29,COR,0,0,0
30,COR,16,16,0
31,COR,36,36,0
32,COR,52,52,0
33,EVR,52,52,0
34,LVR,0,0,0
35,LVR,0,0,0
36,ROR,0,0,0
37,ROR,0,0,0
38,ROR,0,0,0
39,ROR,0,0,0
40,ROR,26,0,26
41,ROR,0,0,0
42,COR,31,0,31
43,COR,0,0,0
44,COR,26,0,26
45,COR,0,0,0
46,ORU,52,52,0
47,ORU,57,57,0
48,LVR,0,0,0
49,EVR,104,104,0
