mutant_id,mutation,failing_test
1,STD,0
2,LVR,43
3,LVR,
4,STD,0
5,LVR,32
6,LVR,47
7,STD,0
8,LVR,18
9,LVR,0
10,AOR,20
11,AOR,18
12,AOR,18
13,AOR,18
14,STD,20
15,LVR,
16,LVR,79
17,ROR,0
18,ROR,32
19,ROR,
20,ROR,0
21,ROR,0
22,ROR,0
23,LVR,18
24,LVR,
25,STD,34
26,LVR,18
27,LVR,42
28,STD,0
29,LVR,18
30,LVR,0
31,AOR,8
32,AOR,18
33,AOR,18
34,AOR,18
35,STD,8
36,LVR,8
37,LVR,0
38,STD,8
39,COR,0
40,COR,0
41,EVR,0
42,EVR,0
43,EVR,0
44,EVR,0
45,EVR,0
46,COR,
47,COR,
48,STD,
49,EVR,0
50,STD,8
51,ROR,12
52,ROR,0
53,ROR,12
54,LVR,0
55,LVR,0
56,STD,0
57,LVR,
58,EVR,0
59,COR,0
60,COR,0
61,ROR,8
62,ROR,0
63,ROR,8
64,LVR,8
65,LVR,0
66,STD,0
67,STD,0
68,STD,8
69,STD,
