mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,382,0,382
2,LVR,296,294,2
3,LVR,0,0,0
4,STD,0,0,0
5,LVR,37,36,1
6,LVR,91,0,91
7,STD,0,0,0
8,LVR,226,0,226
9,LVR,0,0,0
10,AOR,34,32,2
11,AOR,226,0,226
12,AOR,226,0,226
13,AOR,226,0,226
14,STD,34,32,2
15,LVR,0,0,0
16,LVR,298,295,3
17,ROR,0,0,0
18,ROR,89,87,2
19,ROR,0,0,0
20,ROR,291,50,241
21,ROR,0,0,0
22,ROR,2,2,0
23,LVR,17,16,1
24,LVR,0,0,0
25,STD,12,12,0
26,LVR,47,47,0
27,LVR,54,0,54
28,STD,0,0,0
29,LVR,95,0,95
30,LVR,0,0,0
31,AOR,47,47,0
32,AOR,95,0,95
33,AOR,95,0,95
34,AOR,95,0,95
35,STD,46,46,0
36,LVR,1,0,1
37,LVR,177,0,177
38,STD,0,0,0
39,COR,1,0,1
40,COR,31,30,1
41,EVR,31,30,1
42,EVR,31,30,1
43,EVR,0,0,0
44,EVR,0,0,0
45,EVR,0,0,0
46,COR,0,0,0
47,COR,0,0,0
48,STD,0,0,0
49,EVR,54,53,1
50,STD,0,0,0
51,ROR,9,9,0
52,ROR,0,0,0
53,ROR,9,9,0
54,LVR,0,0,0
55,LVR,0,0,0
56,STD,0,0,0
57,LVR,0,0,0
58,EVR,54,53,1
59,COR,0,0,0
60,COR,241,0,241
61,ROR,20,20,0
62,ROR,0,0,0
63,ROR,77,75,2
64,LVR,77,75,2
65,LVR,241,0,241
66,STD,241,0,241
67,STD,77,75,2
68,STD,89,87,2
69,STD,0,0,0
