mutant_id,mutation,failing_test
1,STD,0
2,LVR,14
3,LVR,9
4,STD,9
5,LVR,9
6,LVR,14
7,STD,
8,LVR,43
9,LVR,0
10,AOR,28
11,AOR,
12,AOR,23
13,AOR,0
14,STD,0
15,LVR,0
16,LVR,10
17,ROR,
18,ROR,19
19,ROR,10
20,ROR,24
21,ROR,8
22,ROR,6
23,LVR,
24,LVR,0
25,STD,8
26,LVR,6
27,LVR,6
28,STD,6
29,LVR,8
30,LVR,8
31,AOR,0
32,AOR,8
33,AOR,0
34,AOR,0
35,STD,0
36,LVR,0
37,LVR,0
38,STD,
39,COR,
40,COR,
41,STD,
42,EVR,0
43,COR,8
44,COR,12
45,STD,21
46,STD,0
47,EVR,12
48,STD,0
49,ROR,0
50,ROR,0
51,ROR,0
52,LVR,0
53,LVR,0
54,STD,8
55,EVR,0
56,COR,24
57,COR,8
58,ROR,8
59,ROR,0
60,ROR,0
61,LVR,0
62,LVR,8
63,STD,
64,STD,
65,STD,0
66,STD,9
67,LVR,0
