mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,10,0,10
2,LVR,4,2,2
3,LVR,5,5,0
4,STD,0,0,0
5,LVR,2,0,2
6,LVR,3,0,3
7,STD,0,0,0
8,LVR,3,0,3
9,LVR,0,0,0
10,AOR,0,0,0
11,AOR,3,0,3
12,AOR,3,0,3
13,AOR,3,0,3
14,STD,0,0,0
15,LVR,6,6,0
16,LVR,3,3,0
17,ROR,0,0,0
18,ROR,3,3,0
19,ROR,3,3,0
20,ROR,4,1,3
21,ROR,0,0,0
22,ROR,1,1,0
23,LVR,1,1,0
24,LVR,1,1,0
25,STD,0,0,0
26,LVR,0,0,0
27,LVR,0,0,0
28,STD,0,0,0
29,LVR,0,0,0
30,LVR,0,0,0
31,AOR,0,0,0
32,AOR,0,0,0
33,AOR,0,0,0
34,AOR,0,0,0
35,STD,0,0,0
36,LVR,0,0,0
37,LVR,1,0,1
38,STD,0,0,0
39,COR,0,0,0
40,COR,0,0,0
41,STD,0,0,0
42,EVR,0,0,0
43,COR,1,0,1
44,COR,0,0,0
45,STD,1,0,1
46,STD,0,0,0
47,EVR,0,0,0
48,STD,0,0,0
49,ROR,0,0,0
50,ROR,0,0,0
51,ROR,0,0,0
52,LVR,0,0,0
53,LVR,0,0,0
54,STD,0,0,0
55,EVR,0,0,0
56,COR,0,0,0
57,COR,3,0,3
58,ROR,0,0,0
59,ROR,0,0,0
60,ROR,0,0,0
61,LVR,2,0,2
62,LVR,3,0,3
63,STD,3,0,3
64,STD,0,0,0
65,STD,3,3,0
66,STD,0,0,0
67,LVR,0,0,0
