mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,387,0,387
2,LVR,299,297,2
3,LVR,0,0,0
4,STD,0,0,0
5,LVR,37,36,1
6,LVR,93,0,93
7,STD,0,0,0
8,LVR,229,0,229
9,LVR,0,0,0
10,AOR,34,32,2
11,AOR,229,0,229
12,AOR,229,0,229
13,AOR,229,0,229
14,STD,34,32,2
15,LVR,0,0,0
16,LVR,301,298,3
17,ROR,0,0,0
18,ROR,90,88,2
19,ROR,0,0,0
20,ROR,296,52,244
21,ROR,0,0,0
22,ROR,2,2,0
23,LVR,17,16,1
24,LVR,0,0,0
25,STD,12,12,0
26,LVR,47,47,0
27,LVR,54,0,54
28,STD,0,0,0
29,LVR,96,0,96
30,LVR,0,0,0
31,AOR,47,47,0
32,AOR,96,0,96
33,AOR,96,0,96
34,AOR,96,0,96
35,STD,46,46,0
36,LVR,1,0,1
37,LVR,178,0,178
38,STD,0,0,0
39,COR,1,0,1
40,COR,31,30,1
41,STD,1,0,1
42,EVR,31,30,1
43,COR,0,0,0
44,COR,0,0,0
45,STD,0,0,0
46,STD,0,0,0
47,EVR,54,53,1
48,STD,0,0,0
49,ROR,9,9,0
50,ROR,0,0,0
51,ROR,9,9,0
52,LVR,0,0,0
53,LVR,0,0,0
54,STD,0,0,0
55,EVR,54,53,1
56,COR,0,0,0
57,COR,244,0,244
58,ROR,20,20,0
59,ROR,0,0,0
60,ROR,77,75,2
61,LVR,77,75,2
62,LVR,244,0,244
63,STD,244,0,244
64,STD,77,75,2
65,STD,90,88,2
66,STD,0,0,0
67,LVR,0,0,0
