mutant_id,mutation,failing_test
1,STD,0
2,LVR,21
3,LVR,
4,STD,0
5,LVR,12
6,LVR,16
7,STD,0
8,LVR,0
9,LVR,0
10,AOR,10
11,AOR,0
12,AOR,0
13,AOR,0
14,STD,10
15,LVR,
16,LVR,25
17,ROR,0
18,ROR,0
19,ROR,
20,ROR,0
21,ROR,0
22,ROR,0
23,LVR,8
24,LVR,
25,STD,21
26,LVR,6
27,LVR,16
28,STD,6
29,LVR,0
30,LVR,0
31,AOR,8
32,AOR,0
33,AOR,0
34,AOR,0
35,STD,12
36,LVR,6
37,LVR,0
38,STD,10
39,COR,0
40,COR,0
41,EVR,0
42,EVR,0
43,COR,
44,COR,
45,STD,
46,EVR,0
47,STD,4
48,ROR,8
49,ROR,0
50,ROR,8
51,LVR,0
52,LVR,0
53,STD,0
54,EVR,0
55,EVR,0
56,COR,0
57,COR,0
58,ROR,18
59,ROR,0
60,ROR,16
61,LVR,10
62,LVR,0
63,STD,0
64,STD,6
65,STD,16
66,LVR,
67,STD,
