mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,10,0,10
2,LVR,0,0,0
3,LVR,3,0,3
4,STD,3,0,3
5,LVR,3,0,3
6,LVR,0,0,0
7,STD,5,5,0
8,LVR,3,3,0
9,LVR,0,0,0
10,AOR,3,3,0
11,AOR,3,3,0
12,AOR,4,3,1
13,AOR,3,0,3
14,STD,0,0,0
15,LVR,2,2,0
16,LVR,1,1,0
17,ROR,1,1,0
18,ROR,0,0,0
19,ROR,0,0,0
20,ROR,0,0,0
21,ROR,0,0,0
22,ROR,0,0,0
23,LVR,5,5,0
24,LVR,0,0,0
25,STD,0,0,0
26,LVR,0,0,0
27,LVR,0,0,0
28,STD,0,0,0
29,LVR,0,0,0
30,LVR,0,0,0
31,AOR,1,0,1
32,AOR,0,0,0
33,AOR,0,0,0
34,AOR,0,0,0
35,STD,0,0,0
36,LVR,0,0,0
37,LVR,0,0,0
38,STD,1,0,1
39,COR,0,0,0
40,COR,0,0,0
41,EVR,0,0,0
42,EVR,0,0,0
43,COR,0,0,0
44,COR,0,0,0
45,STD,1,0,1
46,EVR,0,0,0
47,STD,0,0,0
48,ROR,0,0,0
49,ROR,0,0,0
50,ROR,0,0,0
51,LVR,0,0,0
52,LVR,0,0,0
53,STD,3,0,3
54,EVR,0,0,0
55,EVR,0,0,0
56,COR,3,0,3
57,COR,0,0,0
58,ROR,1,0,1
59,ROR,3,0,3
60,ROR,3,0,3
61,LVR,0,0,0
62,LVR,3,3,0
63,STD,0,0,0
64,STD,0,0,0
65,STD,0,0,0
66,LVR,3,0,3
67,STD,0,0,0
