mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,338,0,338
2,LVR,260,258,2
3,LVR,0,0,0
4,STD,0,0,0
5,LVR,32,31,1
6,LVR,78,0,78
7,STD,0,0,0
8,LVR,196,0,196
9,LVR,0,0,0
10,AOR,28,26,2
11,AOR,196,0,196
12,AOR,196,0,196
13,AOR,196,0,196
14,STD,28,26,2
15,LVR,0,0,0
16,LVR,262,259,3
17,ROR,0,0,0
18,ROR,75,73,2
19,ROR,0,0,0
20,ROR,253,47,206
21,ROR,0,0,0
22,ROR,2,2,0
23,LVR,16,15,1
24,LVR,0,0,0
25,STD,11,11,0
26,LVR,42,42,0
27,LVR,48,0,48
28,STD,0,0,0
29,LVR,81,0,81
30,LVR,0,0,0
31,AOR,42,42,0
32,AOR,81,0,81
33,AOR,81,0,81
34,AOR,81,0,81
35,STD,41,41,0
36,LVR,1,0,1
37,LVR,156,0,156
38,STD,0,0,0
39,COR,1,0,1
40,COR,26,25,1
41,EVR,26,25,1
42,EVR,26,25,1
43,COR,16,15,1
44,COR,0,0,0
45,STD,0,0,0
46,EVR,48,47,1
47,STD,0,0,0
48,ROR,7,7,0
49,ROR,0,0,0
50,ROR,7,7,0
51,LVR,0,0,0
52,LVR,0,0,0
53,STD,0,0,0
54,EVR,48,47,1
55,EVR,0,0,0
56,COR,0,0,0
57,COR,206,0,206
58,ROR,16,16,0
59,ROR,0,0,0
60,ROR,67,65,2
61,LVR,67,65,2
62,LVR,206,0,206
63,STD,206,0,206
64,STD,67,65,2
65,STD,75,73,2
66,LVR,0,0,0
67,STD,0,0,0
