mutant_id,mutation,failing_test
1,STD,0
2,LVR,15
3,LVR,
4,STD,0
5,LVR,9
6,LVR,12
7,STD,0
8,LVR,9
9,LVR,0
10,AOR,0
11,AOR,9
12,AOR,9
13,AOR,9
14,STD,0
15,LVR,
16,LVR,18
17,ROR,0
18,ROR,0
19,ROR,
20,ROR,0
21,ROR,0
22,ROR,0
23,LVR,0
24,LVR,
25,STD,6
26,LVR,3
27,LVR,15
28,STD,0
29,LVR,6
30,LVR,0
31,AOR,6
32,AOR,6
33,AOR,6
34,AOR,6
35,STD,0
36,LVR,0
37,LVR,0
38,STD,0
39,COR,0
40,COR,0
41,EVR,0
42,LVR,
43,EVR,0
44,COR,
45,COR,
46,STD,
47,STD,
48,EVR,0
49,STD,0
50,ROR,0
51,ROR,0
52,ROR,0
53,LVR,0
54,LVR,0
55,STD,0
56,EVR,0
57,COR,0
58,COR,0
59,ROR,0
60,ROR,0
61,ROR,0
62,LVR,0
63,LVR,0
64,STD,0
65,STD,0
66,STD,0
67,STD,
