mutant_id,mutation,failing_test
1,STD,0
2,LVR,21
3,LVR,
4,STD,0
5,LVR,18
6,LVR,26
7,STD,0
8,LVR,9
9,LVR,0
10,AOR,6
11,AOR,9
12,AOR,9
13,AOR,9
14,STD,6
15,LVR,
16,LVR,26
17,ROR,0
18,ROR,0
19,ROR,
20,ROR,0
21,ROR,0
22,ROR,0
23,LVR,29
24,LVR,
25,STD,34
26,LVR,17
27,LVR,25
28,STD,2
29,LVR,22
30,LVR,0
31,AOR,18
32,AOR,22
33,AOR,14
34,AOR,22
35,STD,14
36,LVR,8
37,LVR,0
38,STD,8
39,LVR,
40,COR,0
41,COR,0
42,STD,0
43,EVR,0
44,COR,
45,COR,
46,STD,
47,STD,
48,EVR,0
49,STD,0
50,ROR,0
51,ROR,0
52,ROR,0
53,LVR,0
54,LVR,0
55,STD,0
56,EVR,0
57,COR,0
58,COR,0
59,ROR,0
60,ROR,0
61,ROR,0
62,LVR,0
63,LVR,0
64,STD,0
65,STD,0
66,STD,0
67,STD,
