mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,320,0,320
2,LVR,244,242,2
3,LVR,0,0,0
4,STD,0,0,0
5,LVR,27,27,0
6,LVR,70,0,70
7,STD,0,0,0
8,LVR,179,0,179
9,LVR,0,0,0
10,AOR,23,22,1
11,AOR,179,0,179
12,AOR,179,0,179
13,AOR,179,0,179
14,STD,23,22,1
15,LVR,0,0,0
16,LVR,246,243,3
17,ROR,0,0,0
18,ROR,66,65,1
19,ROR,0,0,0
20,ROR,236,48,188
21,ROR,0,0,0
22,ROR,2,2,0
23,LVR,14,13,1
24,LVR,0,0,0
25,STD,10,10,0
26,LVR,40,40,0
27,LVR,46,0,46
28,STD,0,0,0
29,LVR,77,0,77
30,LVR,0,0,0
31,AOR,40,40,0
32,AOR,77,0,77
33,AOR,77,0,77
34,AOR,77,0,77
35,STD,39,39,0
36,LVR,1,0,1
37,LVR,150,0,150
38,STD,0,0,0
39,LVR,0,0,0
40,COR,1,0,1
41,COR,22,21,1
42,STD,1,0,1
43,EVR,22,21,1
44,COR,0,0,0
45,COR,0,0,0
46,STD,14,13,1
47,STD,0,0,0
48,EVR,45,45,0
49,STD,0,0,0
50,ROR,7,7,0
51,ROR,0,0,0
52,ROR,7,7,0
53,LVR,0,0,0
54,LVR,0,0,0
55,STD,0,0,0
56,EVR,45,45,0
57,COR,0,0,0
58,COR,188,0,188
59,ROR,14,14,0
60,ROR,0,0,0
61,ROR,60,59,1
62,LVR,60,59,1
63,LVR,188,0,188
64,STD,188,0,188
65,STD,60,59,1
66,STD,66,65,1
67,STD,0,0,0
