mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,1,0,1
2,LVR,1,0,1
3,LVR,1,0,1
4,STD,1,0,1
5,LVR,1,0,1
6,LVR,1,0,1
7,ROR,1,0,1
8,ROR,1,0,1
9,ROR,1,0,1
10,LVR,1,0,1
11,LVR,1,0,1
12,AOR,1,0,1
13,AOR,1,0,1
14,AOR,1,0,1
15,AOR,1,0,1
16,ROR,1,0,1
17,ROR,1,0,1
18,ROR,1,0,1
19,LVR,1,0,1
20,LVR,1,0,1
21,LVR,1,0,1
22,LVR,1,0,1
23,AOR,1,0,1
24,AOR,1,0,1
25,AOR,1,0,1
26,AOR,1,0,1
27,STD,1,0,1
28,LVR,1,0,1
29,LVR,1,0,1
30,STD,1,0,1
31,LVR,1,0,1
32,COR,1,0,1
33,COR,1,0,1
34,STD,1,0,1
35,EVR,1,0,1
36,COR,1,0,1
37,COR,1,0,1
38,STD,1,0,1
39,COR,1,0,1
40,COR,1,0,1
41,STD,1,0,1
42,COR,1,0,1
43,COR,1,0,1
44,STD,1,0,1
45,EVR,1,0,1
46,STD,1,0,1
47,EVR,1,0,1
