mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,326,10,316
2,LVR,29,19,10
3,LVR,29,19,10
4,STD,104,39,65
5,LVR,29,19,10
6,LVR,29,19,10
7,ROR,29,19,10
8,ROR,252,32,220
9,ROR,0,0,0
10,LVR,29,19,10
11,LVR,173,0,173
12,AOR,149,106,43
13,AOR,194,0,194
14,AOR,173,0,173
15,AOR,193,0,193
16,ROR,0,0,0
17,ROR,173,0,173
18,ROR,193,0,193
19,LVR,173,0,173
20,LVR,0,0,0
21,LVR,87,61,26
22,LVR,97,67,30
23,AOR,163,94,69
24,AOR,23,23,0
25,AOR,0,0,0
26,AOR,138,0,138
27,STD,80,76,4
28,LVR,138,0,138
29,LVR,80,76,4
30,STD,58,0,58
31,LVR,63,0,63
32,COR,30,30,0
33,COR,10,0,10
34,STD,149,106,43
35,EVR,220,0,220
36,COR,142,77,65
37,COR,113,0,113
38,STD,38,35,3
39,COR,113,0,113
40,COR,37,34,3
41,STD,21,21,0
42,COR,37,34,3
43,COR,303,74,229
44,STD,269,47,222
45,EVR,0,0,0
46,STD,142,77,65
47,EVR,261,45,216
