mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,7,1,6
2,LVR,5,5,0
3,LVR,6,6,0
4,STD,5,5,0
5,LVR,6,4,2
6,LVR,7,5,2
7,ROR,0,0,0
8,ROR,1,1,0
9,ROR,7,5,2
10,LVR,0,0,0
11,LVR,0,0,0
12,AOR,1,0,1
13,AOR,0,0,0
14,AOR,0,0,0
15,AOR,0,0,0
16,ROR,6,2,4
17,ROR,0,0,0
18,ROR,0,0,0
19,LVR,0,0,0
20,LVR,1,0,1
21,LVR,0,0,0
22,LVR,1,0,1
23,AOR,0,0,0
24,AOR,0,0,0
25,AOR,1,0,1
26,AOR,0,0,0
27,STD,0,0,0
28,LVR,1,1,0
29,LVR,1,1,0
30,STD,1,1,0
31,COR,1,0,1
32,COR,0,0,0
33,STD,1,0,1
34,EVR,0,0,0
35,COR,0,0,0
36,COR,1,0,1
37,STD,1,1,0
38,EVR,0,0,0
39,COR,0,0,0
40,COR,4,0,4
41,STD,1,1,0
42,LVR,0,0,0
43,COR,1,0,1
44,COR,1,1,0
45,STD,1,0,1
46,EVR,0,0,0
47,STD,1,1,0
48,EVR,0,0,0
