mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,337,10,327
2,LVR,155,109,46
3,LVR,169,97,72
4,STD,155,109,46
5,LVR,316,78,238
6,LVR,280,49,231
7,ROR,0,0,0
8,ROR,152,82,70
9,ROR,272,47,225
10,LVR,32,21,11
11,LVR,32,21,11
12,AOR,112,43,69
13,AOR,32,21,11
14,AOR,32,21,11
15,AOR,32,21,11
16,ROR,262,32,230
17,ROR,0,0,0
18,ROR,32,21,11
19,LVR,179,0,179
20,LVR,200,0,200
21,LVR,179,0,179
22,LVR,199,0,199
23,AOR,0,0,0
24,AOR,179,0,179
25,AOR,199,0,199
26,AOR,179,0,179
27,STD,0,0,0
28,LVR,92,63,29
29,LVR,102,69,33
30,STD,24,24,0
31,COR,143,0,143
32,COR,87,83,4
33,STD,143,0,143
34,EVR,87,83,4
35,COR,60,0,60
36,COR,68,0,68
37,STD,31,31,0
38,EVR,0,0,0
39,COR,11,0,11
40,COR,230,0,230
41,STD,152,82,70
42,LVR,0,0,0
43,COR,122,0,122
44,COR,42,39,3
45,STD,122,0,122
46,EVR,41,38,3
47,STD,24,24,0
48,EVR,41,38,3
