mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,5,1,4
2,LVR,3,2,1
3,LVR,3,1,2
4,STD,3,2,1
5,LVR,5,2,3
6,LVR,4,2,2
7,ROR,0,0,0
8,ROR,1,0,1
9,ROR,4,2,2
10,LVR,1,1,0
11,LVR,1,1,0
12,AOR,1,0,1
13,AOR,1,1,0
14,AOR,1,1,0
15,AOR,1,1,0
16,ROR,4,1,3
17,ROR,0,0,0
18,ROR,1,1,0
19,LVR,0,0,0
20,LVR,1,0,1
21,LVR,0,0,0
22,LVR,1,0,1
23,AOR,0,0,0
24,AOR,0,0,0
25,AOR,1,0,1
26,AOR,0,0,0
27,STD,0,0,0
28,LVR,1,1,0
29,LVR,1,1,0
30,STD,1,1,0
31,COR,1,0,1
32,COR,0,0,0
33,STD,1,0,1
34,EVR,0,0,0
35,LVR,0,0,0
36,EVR,0,0,0
37,COR,0,0,0
38,COR,1,0,1
39,STD,1,0,1
40,COR,0,0,0
41,COR,3,0,3
42,STD,1,0,1
43,COR,1,0,1
44,COR,1,1,0
45,STD,1,0,1
46,EVR,0,0,0
47,STD,1,1,0
48,EVR,0,0,0
