mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,6,1,5
2,LVR,0,0,0
3,LVR,0,0,0
4,STD,1,0,1
5,LVR,0,0,0
6,LVR,0,0,0
7,ROR,0,0,0
8,ROR,5,1,4
9,ROR,0,0,0
10,LVR,0,0,0
11,LVR,0,0,0
12,AOR,6,6,0
13,AOR,1,0,1
14,AOR,0,0,0
15,AOR,1,0,1
16,ROR,0,0,0
17,ROR,0,0,0
18,ROR,1,0,1
19,LVR,0,0,0
20,LVR,0,0,0
21,LVR,1,1,0
22,LVR,1,1,0
23,AOR,7,7,0
24,AOR,1,1,0
25,AOR,2,0,2
26,AOR,0,0,0
27,STD,2,0,2
28,LVR,0,0,0
29,LVR,0,0,0
30,STD,1,0,1
31,COR,1,1,0
32,COR,0,0,0
33,STD,4,0,4
34,EVR,6,6,0
35,COR,1,1,0
36,COR,0,0,0
37,STD,0,0,0
38,COR,1,0,1
39,COR,1,1,0
40,STD,1,0,1
41,EVR,0,0,0
42,EVR,1,1,0
43,COR,0,0,0
44,COR,0,0,0
45,STD,6,4,2
46,EVR,7,5,2
47,STD,0,0,0
48,LVR,1,1,0
49,EVR,7,5,2
