mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,167,0,167
2,STD,0,0,0
3,STD,0,0,0
4,STD,158,0,158
5,ROR,0,0,0
6,EVR,152,0,152
7,STD,5,5,0
8,EVR,152,11,141
9,ROR,2,0,2
10,ROR,0,0,0
11,ROR,158,0,158
12,COR,0,0,0
13,COR,10,10,0
14,COR,0,0,0
15,COR,158,0,158
16,COR,1,1,0
17,COR,3,3,0
18,COR,10,10,0
19,COR,158,0,158
20,STD,10,10,0
21,STD,8,8,0
22,STD,0,0,0
23,LVR,0,0,0
24,ROR,0,0,0
25,STD,10,10,0
26,STD,0,0,0
27,STD,0,0,0
28,ROR,0,0,0
29,ROR,0,0,0
30,ROR,0,0,0
31,ROR,0,0,0
32,STD,0,0,0
33,STD,0,0,0
34,ROR,1,0,1
35,STD,0,0,0
