mutant_id,mutation,failing_test
1,STD,0
2,STD,3
3,COR,0
4,COR,0
5,EVR,0
6,EVR,0
7,EVR,0
8,EVR,0
9,LVR,
10,EVR,0
11,LVR,0
12,LVR,0
13,ROR,0
14,ROR,0
15,ROR,0
16,EVR,0
17,LVR,0
18,LVR,0
19,LVR,0
20,ROR,0
21,ROR,0
22,ROR,0
23,COR,0
24,COR,0
25,COR,0
26,COR,0
27,ROR,0
28,STD,0
29,STD,
30,EVR,0
31,EVR,0
32,LVR,0
33,LVR,0
34,ROR,0
35,ROR,0
36,ROR,0
37,STD,0
38,STD,6
39,STD,0
40,LVR,0
41,LVR,0
42,AOR,0
43,AOR,0
44,AOR,0
45,AOR,0
46,STD,0
47,EVR,0
48,EVR,0
49,LVR,0
50,LVR,0
51,ROR,0
52,ROR,0
53,ROR,0
54,COR,0
55,COR,0
56,COR,0
57,COR,0
58,EVR,0
59,STD,0
60,STD,6
61,EVR,0
62,EVR,0
63,EVR,0
