mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,11,0,11
2,STD,7,0,7
3,COR,1,0,1
4,COR,1,0,1
5,EVR,0,0,0
6,EVR,1,1,0
7,EVR,1,1,0
8,EVR,4,2,2
9,LVR,0,0,0
10,EVR,4,2,2
11,LVR,1,0,1
12,LVR,3,1,2
13,ROR,1,0,1
14,ROR,1,0,1
15,ROR,3,1,2
16,EVR,2,0,2
17,LVR,0,0,0
18,LVR,1,0,1
19,LVR,0,0,0
20,ROR,0,0,0
21,ROR,0,0,0
22,ROR,0,0,0
23,COR,1,0,1
24,COR,0,0,0
25,COR,0,0,0
26,COR,0,0,0
27,ROR,0,0,0
28,STD,0,0,0
29,STD,0,0,0
30,EVR,0,0,0
31,EVR,7,0,7
32,LVR,1,1,0
33,LVR,7,0,7
34,ROR,1,1,0
35,ROR,1,1,0
36,ROR,7,0,7
37,STD,0,0,0
38,STD,5,2,3
39,STD,5,0,5
40,LVR,0,0,0
41,LVR,0,0,0
42,AOR,0,0,0
43,AOR,0,0,0
44,AOR,0,0,0
45,AOR,0,0,0
46,STD,0,0,0
47,EVR,1,1,0
48,EVR,2,0,2
49,LVR,1,0,1
50,LVR,0,0,0
51,ROR,0,0,0
52,ROR,0,0,0
53,ROR,2,0,2
54,COR,2,0,2
55,COR,2,0,2
56,COR,2,0,2
57,COR,0,0,0
58,EVR,1,1,0
59,STD,2,2,0
60,STD,0,0,0
61,EVR,1,1,0
62,EVR,7,0,7
63,EVR,7,0,7
